time	value
5.729858534213619e-001	-9.896284e+001
5.745137098727464e-001	-9.968140e+001
5.763192074315237e-001	-9.924426e+001
5.786471410984077e-001	-9.655088e+001
5.824187039490106e-001	-8.740233e+001
5.884130374693433e-001	-6.332361e+001
5.973779021786851e-001	-1.517663e+001
6.074067670667341e-001	4.278463e+001
6.132534538883780e-001	7.247907e+001
6.169459383490589e-001	8.666073e+001
6.195162895327274e-001	9.367676e+001
6.213969353130865e-001	9.716166e+001
6.229858534213641e-001	9.896284e+001
6.245137098727470e-001	9.968140e+001
6.263192074315238e-001	9.924426e+001
6.286471410984080e-001	9.655088e+001
6.324187039490112e-001	8.740233e+001
6.384130374693442e-001	6.332361e+001
6.473779021786864e-001	1.517663e+001
6.574067670667350e-001	-4.278463e+001
6.632534538883785e-001	-7.247907e+001
6.669459383490592e-001	-8.666073e+001
6.695162895327276e-001	-9.367676e+001
6.713969353130866e-001	-9.716166e+001
6.729858534213643e-001	-9.896284e+001
6.745137098727471e-001	-9.968140e+001
6.763192074315239e-001	-9.924426e+001
6.786471410984082e-001	-9.655088e+001
6.824187039490114e-001	-8.740233e+001
6.884130374693445e-001	-6.332361e+001
6.973779021786868e-001	-1.517663e+001
7.074067670667352e-001	4.278463e+001
7.132534538883786e-001	7.247907e+001
7.169459383490593e-001	8.666073e+001
7.195162895327276e-001	9.367676e+001
7.213969353130867e-001	9.716166e+001
7.229858534213643e-001	9.896284e+001
7.245137098727470e-001	9.968140e+001
7.263192074315239e-001	9.924426e+001
7.286471410984081e-001	9.655088e+001
7.324187039490113e-001	8.740233e+001
7.384130374693443e-001	6.332361e+001
7.473779021786865e-001	1.517663e+001
7.574067670667350e-001	-4.278463e+001
7.632534538883785e-001	-7.247907e+001
7.669459383490593e-001	-8.666073e+001
7.695162895327277e-001	-9.367676e+001
7.713969353130867e-001	-9.716166e+001
7.729858534213644e-001	-9.896284e+001
7.745137098727470e-001	-9.968140e+001
7.763192074315239e-001	-9.924426e+001
7.786471410984082e-001	-9.655088e+001
7.824187039490114e-001	-8.740233e+001
7.884130374693444e-001	-6.332361e+001
7.973779021786868e-001	-1.517663e+001
8.074067670667352e-001	4.278463e+001
8.132534538883787e-001	7.247907e+001
8.169459383490594e-001	8.666073e+001
8.195162895327277e-001	9.367676e+001
8.213969353130867e-001	9.716166e+001
8.229858534213644e-001	9.896284e+001
8.245137098727471e-001	9.968140e+001
8.263192074315239e-001	9.924426e+001
8.286471410984081e-001	9.655088e+001
8.324187039490113e-001	8.740233e+001
8.384130374693443e-001	6.332361e+001
8.473779021786866e-001	1.517663e+001
8.574067670667351e-001	-4.278463e+001
8.632534538883786e-001	-7.247907e+001
8.669459383490593e-001	-8.666073e+001
8.695162895327276e-001	-9.367676e+001
8.713969353130867e-001	-9.716166e+001
8.729858534213645e-001	-9.896284e+001
8.745137098727471e-001	-9.968140e+001
8.763192074315239e-001	-9.924426e+001
8.786471410984081e-001	-9.655088e+001
8.824187039490113e-001	-8.740233e+001
8.884130374693444e-001	-6.332361e+001
